Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6661750,-87.43,-126.68,50.0,1.00,-0.0,50.0,-0.0
6662000,-87.71,-127.23,50.0,1.00,-0.0,50.0,-0.0
6662250,-87.67,-122.55,50.0,1.00,-0.0,50.0,-0.0
6662500,-87.81,-121.87,50.0,1.00,-0.0,50.0,-0.0
6662750,-87.77,-125.21,50.0,1.00,-0.0,50.0,-0.0
6663000,-87.26,-123.33,50.0,1.00,-0.0,50.0,-0.0
6663250,-87.41,-123.17,50.0,1.00,-0.0,50.0,-0.0
6663500,-87.69,-122.44,50.0,1.00,-0.0,50.0,-0.0
6663750,-87.96,-123.56,50.0,1.00,-0.0,50.0,-0.0
6664000,-87.74,-122.60,50.0,1.00,-0.0,50.0,-0.0
6664250,-87.43,-124.98,50.0,1.00,-0.0,50.0,-0.0
6664500,-87.87,-124.16,50.0,1.00,-0.0,50.0,-0.0
6664750,-87.26,-126.63,50.0,1.00,-0.0,50.0,-0.0
6665000,-87.29,-125.57,50.0,1.00,-0.0,50.0,-0.0
6665250,-87.75,-121.92,50.0,1.00,-0.0,50.0,-0.0
6665500,-87.93,-123.87,50.0,1.00,-0.0,50.0,-0.0
6665750,-87.74,-124.92,50.0,1.00,-0.0,50.0,-0.0
6666000,-87.78,-121.94,50.0,1.00,-0.0,50.0,-0.0
6666250,-87.33,-126.84,50.0,1.00,-0.0,50.0,-0.0
6666500,-87.38,-125.00,50.0,1.00,-0.0,50.0,-0.0
6666750,-88.10,-123.09,50.0,1.00,-0.0,50.0,-0.0
6667000,-88.19,-125.15,50.0,1.00,-0.0,50.0,-0.0
6667250,-87.74,-125.49,50.0,1.00,-0.0,50.0,-0.0
6667500,-87.56,-124.34,50.0,1.00,-0.0,50.0,-0.0
6667750,-87.72,-120.83,50.0,1.00,-0.0,50.0,-0.0
6668000,-87.72,-123.61,50.0,1.00,-0.0,50.0,-0.0
6668250,-88.06,-124.48,50.0,1.00,-0.0,50.0,-0.0
6668500,-87.61,-124.50,50.0,1.00,-0.0,50.0,-0.0
6668750,-88.07,-118.98,50.0,1.00,-0.0,50.0,-0.0
6669000,-87.45,-124.64,50.0,1.00,-0.0,50.0,-0.0
6669250,-87.75,-123.28,50.0,1.00,-0.0,50.0,-0.0
6669500,-87.64,-119.39,50.0,1.00,-0.0,50.0,-0.0
6669750,-87.63,-124.76,50.0,1.00,-0.0,50.0,-0.0
6670000,-87.53,-124.06,50.0,1.00,-0.0,50.0,-0.0
6670250,-87.67,-126.31,50.0,1.00,-0.0,50.0,-0.0
6670500,-87.83,-125.83,50.0,1.00,-0.0,50.0,-0.0
6670750,-87.41,-124.24,50.0,1.00,-0.0,50.0,-0.0
6671000,-87.67,-122.84,50.0,1.00,-0.0,50.0,-0.0
6671250,-87.78,-126.23,50.0,1.00,-0.0,50.0,-0.0
6671500,-87.26,-122.85,50.0,1.00,-0.0,50.0,-0.0
6671750,-87.59,-123.20,50.0,1.00,-0.0,50.0,-0.0
6672000,-88.12,-125.76,50.0,1.00,-0.0,50.0,-0.0
6672250,-87.68,-124.11,50.0,1.00,-0.0,50.0,-0.0
6672500,-87.63,-122.79,50.0,1.00,-0.0,50.0,-0.0
6672750,-87.50,-126.26,50.0,1.00,-0.0,50.0,-0.0
6673000,-87.85,-126.68,50.0,1.00,-0.0,50.0,-0.0
6673250,-87.89,-126.50,50.0,1.00,-0.0,50.0,-0.0
6673500,-87.86,-123.50,50.0,1.00,-0.0,50.0,-0.0
6673750,-87.98,-126.14,50.0,1.00,-0.0,50.0,-0.0
